date,open,high,low,close,volume
2024-01-02,126,128.3,120.28,122.58,1000286
2024-01-03,122.58,123.71,121.33,122.47,1008205
2024-01-04,122.47,123.6,121.22,122.36,1016124
2024-01-05,122.36,123.49,121.13,122.26,1024043
2024-01-08,122.26,123.39,121.04,122.17,1031962
2024-01-09,122.17,123.3,120.97,122.09,1039881
2024-01-10,122.09,123.22,120.9,122.02,1047800
2024-01-11,122.02,123.14,120.84,121.96,1055719
2024-01-12,121.96,123.08,120.8,121.92,1063638
2024-01-15,121.92,123.03,120.77,121.88,1071557
2024-01-16,121.88,122.99,120.75,121.86,1079476
2024-01-17,121.86,122.96,120.75,121.85,1087395
2024-01-18,121.85,122.96,120.75,121.86,1095314
2024-01-19,121.86,122.99,120.75,121.89,1103233
2024-01-22,121.89,123.04,120.77,121.93,1111152
2024-01-23,121.93,123.11,120.81,121.98,1119071
2024-01-24,121.98,123.19,120.86,122.06,1126990
2024-01-25,122.06,123.29,120.93,122.15,1134909
2024-01-26,122.15,123.41,121.02,122.27,1142828
2024-01-29,122.27,123.55,121.12,122.4,1150747
2024-01-30,122.4,123.7,121.25,122.55,1158666
2024-01-31,122.55,123.88,121.39,122.72,1166585
2024-02-01,122.72,124.08,121.55,122.91,1174504
2024-02-02,122.91,124.3,121.74,123.12,1182423
2024-02-05,123.12,124.53,121.94,123.35,1190342
2024-02-06,123.35,124.79,122.17,123.6,1198261
2024-02-07,123.6,125.07,122.41,123.88,1206180
2024-02-08,123.88,125.37,122.67,124.17,1214099
2024-02-09,124.17,125.68,122.96,124.48,1222018
2024-02-12,124.48,126.02,123.26,124.81,1229937
2024-02-13,124.81,126.38,123.58,125.15,1237856
2024-02-14,125.15,126.75,123.93,125.52,1245775
2024-02-15,125.52,127.14,124.29,125.91,1253694
2024-02-16,125.91,127.55,124.67,126.31,1261613
2024-02-19,126.31,127.98,125.06,126.73,1269532
2024-02-20,126.73,128.42,125.48,127.17,1277451
2024-02-21,127.17,128.88,125.91,127.62,1285370
2024-02-22,127.62,129.35,126.36,128.09,1293289
2024-02-23,128.09,129.84,126.82,128.57,1301208
2024-02-26,128.57,130.34,127.3,129.06,1309127
2024-02-27,129.06,130.85,127.79,129.57,1317046
2024-02-28,129.57,131.37,128.29,130.09,1324965
2024-02-29,130.09,131.91,128.8,130.62,1332884
2024-03-01,130.62,132.45,129.33,131.16,1340803
2024-03-04,131.16,133,129.87,131.71,1348722
2024-03-05,131.71,133.56,130.41,132.26,1356641
2024-03-06,132.26,134.12,130.96,132.82,1364560
2024-03-07,132.82,134.69,131.52,133.39,1372479
2024-03-08,133.39,135.26,132.09,133.96,1380398
2024-03-11,133.96,135.83,132.66,134.53,1388317
2024-03-12,134.53,136.41,133.23,135.1,1396236
2024-03-13,135.1,136.98,133.8,135.68,1404155
2024-03-14,135.68,137.55,134.38,136.25,1412074
2024-03-15,136.25,138.12,134.95,136.82,1419993
2024-03-18,136.82,138.69,135.52,137.39,1427912
2024-03-19,137.39,139.25,136.09,137.95,1435831
2024-03-20,137.95,139.8,136.66,138.51,1443750
2024-03-21,138.51,140.35,137.21,139.05,1451669
2024-03-22,139.05,140.88,137.77,139.59,1459588
2024-03-25,139.59,141.41,138.31,140.12,1467507
2024-03-26,140.12,141.92,138.84,140.64,1475426
2024-03-27,140.64,142.43,139.37,141.15,1483345
2024-03-28,141.15,142.91,139.88,141.64,1491264
2024-03-29,141.64,143.39,140.37,142.12,1499183
2024-04-01,142.12,143.85,140.86,142.58,1507102
2024-04-02,142.58,144.29,141.33,143.03,1515021
2024-04-03,143.03,144.71,141.78,143.46,1522940
2024-04-04,143.46,145.11,142.21,143.87,1530859
2024-04-05,143.87,145.5,142.63,144.26,1538778
2024-04-08,144.26,145.86,143.03,144.63,1546697
2024-04-09,144.63,146.2,143.41,144.98,1554616
2024-04-10,144.98,146.52,143.76,145.3,1562535
2024-04-11,145.3,146.81,144.1,145.61,1570454
2024-04-12,145.61,147.09,144.41,145.89,1578373
2024-04-15,145.89,147.33,144.7,146.14,1586292
2024-04-16,146.14,147.56,144.96,146.37,1594211
2024-04-17,146.37,147.75,145.2,146.58,1602130
2024-04-18,146.58,147.93,145.42,146.76,1610049
2024-04-19,146.76,148.07,145.61,146.92,1617968
2024-04-22,146.92,148.19,145.77,147.05,1625887
2024-04-23,147.05,148.28,145.91,147.15,1633806
2024-04-24,147.15,148.35,146.02,147.23,1641725
2024-04-25,147.23,148.39,146.11,147.27,1649644
2024-04-26,147.27,148.41,146.17,147.3,1657563
2024-04-29,147.3,148.4,146.19,147.29,1665482
2024-04-30,147.29,148.4,146.15,147.26,1673401
2024-05-01,147.26,148.38,146.09,147.21,1681320
2024-05-02,147.21,148.34,146,147.13,1689239
2024-05-03,147.13,148.26,145.88,147.02,1697158
2024-05-06,147.02,148.17,145.74,146.89,1705077
2024-05-07,146.89,148.04,145.57,146.73,1712996
2024-05-08,146.73,147.89,145.38,146.55,1720915
2024-05-09,146.55,147.72,145.17,146.34,1728834
