date,open,high,low,close,volume
2024-01-02,137,139.71,129.71,132.41,1000297
2024-01-03,132.41,133.59,131.29,132.47,1008216
2024-01-04,132.47,133.67,131.35,132.55,1016135
2024-01-05,132.55,133.77,131.41,132.64,1024054
2024-01-08,132.64,133.88,131.5,132.74,1031973
2024-01-09,132.74,134.01,131.6,132.87,1039892
2024-01-10,132.87,134.17,131.72,133.01,1047811
2024-01-11,133.01,134.33,131.86,133.18,1055730
2024-01-12,133.18,134.52,132.01,133.36,1063649
2024-01-15,133.36,134.73,132.19,133.56,1071568
2024-01-16,133.56,134.96,132.38,133.78,1079487
2024-01-17,133.78,135.21,132.6,134.02,1087406
2024-01-18,134.02,135.47,132.83,134.28,1095325
2024-01-19,134.28,135.76,133.08,134.56,1103244
2024-01-22,134.56,136.07,133.36,134.86,1111163
2024-01-23,134.86,136.4,133.65,135.19,1119082
2024-01-24,135.19,136.74,133.97,135.53,1127001
2024-01-25,135.53,137.11,134.3,135.89,1134920
2024-01-26,135.89,137.5,134.65,136.27,1142839
2024-01-29,136.27,137.9,135.03,136.66,1150758
2024-01-30,136.66,138.33,135.42,137.08,1158677
2024-01-31,137.08,138.77,135.83,137.52,1166596
2024-02-01,137.52,139.23,136.26,137.97,1174515
2024-02-02,137.97,139.7,136.71,138.44,1182434
2024-02-05,138.44,140.2,137.17,138.93,1190353
2024-02-06,138.93,140.71,137.65,139.43,1198272
2024-02-07,139.43,141.23,138.15,139.95,1206191
2024-02-08,139.95,141.76,138.66,140.48,1214110
2024-02-09,140.48,142.31,139.19,141.02,1222029
2024-02-12,141.02,142.88,139.73,141.58,1229948
2024-02-13,141.58,143.45,140.28,142.15,1237867
2024-02-14,142.15,144.03,140.85,142.73,1245786
2024-02-15,142.73,144.63,141.42,143.32,1253705
2024-02-16,143.32,145.23,142.01,143.92,1261624
2024-02-19,143.92,145.83,142.6,144.52,1269543
2024-02-20,144.52,146.45,143.21,145.13,1277462
2024-02-21,145.13,147.06,143.82,145.75,1285381
2024-02-22,145.75,147.69,144.43,146.37,1293300
2024-02-23,146.37,148.31,145.05,146.99,1301219
2024-02-26,146.99,148.93,145.67,147.61,1309138
2024-02-27,147.61,149.56,146.3,148.24,1317057
2024-02-28,148.24,150.18,146.92,148.86,1324976
2024-02-29,148.86,150.8,147.54,149.48,1332895
2024-03-01,149.48,151.41,148.17,150.1,1340814
2024-03-04,150.1,152.02,148.78,150.71,1348733
2024-03-05,150.71,152.63,149.4,151.32,1356652
2024-03-06,151.32,153.22,150.01,151.91,1364571
2024-03-07,151.91,153.81,150.61,152.5,1372490
2024-03-08,152.5,154.39,151.2,153.08,1380409
2024-03-11,153.08,154.95,151.78,153.65,1388328
2024-03-12,153.65,155.5,152.36,154.21,1396247
2024-03-13,154.21,156.04,152.92,154.75,1404166
2024-03-14,154.75,156.57,153.47,155.28,1412085
2024-03-15,155.28,157.07,154,155.79,1420004
2024-03-18,155.79,157.56,154.52,156.29,1427923
2024-03-19,156.29,158.04,155.02,156.77,1435842
2024-03-20,156.77,158.49,155.51,157.23,1443761
2024-03-21,157.23,158.92,155.97,157.67,1451680
2024-03-22,157.67,159.34,156.42,158.09,1459599
2024-03-25,158.09,159.73,156.85,158.49,1467518
2024-03-26,158.49,160.1,157.26,158.86,1475437
2024-03-27,158.86,160.44,157.64,159.22,1483356
2024-03-28,159.22,160.76,158,159.55,1491275
2024-03-29,159.55,161.06,158.34,159.85,1499194
2024-04-01,159.85,161.33,158.65,160.13,1507113
2024-04-02,160.13,161.58,158.95,160.39,1515032
2024-04-03,160.39,161.8,159.21,160.62,1522951
2024-04-04,160.62,162,159.45,160.83,1530870
2024-04-05,160.83,162.17,159.66,161.01,1538789
2024-04-08,161.01,162.31,159.85,161.16,1546708
2024-04-09,161.16,162.43,160.01,161.29,1554627
2024-04-10,161.29,162.52,160.15,161.38,1562546
2024-04-11,161.38,162.58,160.26,161.46,1570465
2024-04-12,161.46,162.62,160.34,161.5,1578384
2024-04-15,161.5,162.63,160.4,161.52,1586303
2024-04-16,161.52,162.63,160.42,161.52,1594222
2024-04-17,161.52,162.63,160.38,161.49,1602141
2024-04-18,161.49,162.61,160.31,161.43,1610060
2024-04-19,161.43,162.56,160.22,161.35,1617979
2024-04-22,161.35,162.48,160.1,161.24,1625898
2024-04-23,161.24,162.38,159.96,161.11,1633817
2024-04-24,161.11,162.26,159.8,160.95,1641736
2024-04-25,160.95,162.11,159.61,160.77,1649655
2024-04-26,160.77,161.94,159.4,160.57,1657574
2024-04-29,160.57,161.75,159.17,160.35,1665493
2024-04-30,160.35,161.54,158.92,160.11,1673412
2024-05-01,160.11,161.3,158.65,159.85,1681331
2024-05-02,159.85,161.04,158.37,159.56,1689250
2024-05-03,159.56,160.77,158.06,159.26,1697169
2024-05-06,159.26,160.48,157.74,158.95,1705088
2024-05-07,158.95,160.16,157.4,158.62,1713007
2024-05-08,158.62,159.84,157.05,158.27,1720926
2024-05-09,158.27,159.5,156.68,157.91,1728845
2024-05-10,157.91,159.14,156.31,157.54,1736764
2024-05-13,157.54,158.77,155.92,157.15,1744683
2024-05-14,157.15,158.39,155.52,156.76,1752602
2024-05-15,156.76,158,155.11,156.35,1760521
2024-05-16,156.35,157.6,154.7,155.94,1768440
2024-05-17,155.94,157.19,154.28,155.52,1776359
2024-05-20,155.52,156.77,153.85,155.1,1784278
2024-05-21,155.1,156.35,153.42,154.67,1792197
2024-05-22,154.67,155.92,152.99,154.24,1800116
2024-05-23,154.24,155.49,152.56,153.81,1808035
2024-05-24,153.81,155.06,152.13,153.38,1815954
2024-05-27,153.38,154.63,151.7,152.95,1823873
2024-05-28,152.95,154.2,151.27,152.52,1831792
2024-05-29,152.52,153.77,150.85,152.09,1839711
2024-05-30,152.09,153.34,150.43,151.67,1847630
2024-05-31,151.67,152.92,150.01,151.26,1855549
2024-06-03,151.26,152.5,149.61,150.85,1863468
2024-06-04,150.85,152.09,149.21,150.45,1871387
2024-06-05,150.45,151.69,148.83,150.06,1879306
2024-06-06,150.06,151.3,148.45,149.68,1887225
2024-06-07,149.68,150.91,148.08,149.31,1895144
2024-06-10,149.31,150.54,147.73,148.95,1003063
2024-06-11,148.95,150.18,147.39,148.61,1010982
2024-06-12,148.61,149.83,147.06,148.28,1018901
2024-06-13,148.28,149.49,146.75,147.96,1026820
2024-06-14,147.96,149.17,146.46,147.66,1034739
2024-06-17,147.66,148.86,146.18,147.38,1042658
2024-06-18,147.38,148.57,145.92,147.11,1050577
2024-06-19,147.11,148.3,145.67,146.86,1058496
2024-06-20,146.86,148.04,145.45,146.63,1066415
2024-06-21,146.63,147.8,145.24,146.42,1074334
2024-06-24,146.42,147.58,145.05,146.22,1082253
2024-06-25,146.22,147.38,144.88,146.04,1090172
2024-06-26,146.04,147.2,144.73,145.89,1098091
2024-06-27,145.89,147.03,144.6,145.75,1106010
2024-06-28,145.75,146.89,144.49,145.63,1113929
2024-07-01,145.63,146.77,144.4,145.53,1121848
2024-07-02,145.53,146.66,144.33,145.45,1129767
2024-07-03,145.45,146.58,144.28,145.4,1137686
2024-07-04,145.4,146.51,144.24,145.36,1145605
2024-07-05,145.36,146.46,144.23,145.34,1153524
2024-07-08,145.34,146.44,144.24,145.34,1161443
2024-07-09,145.34,146.46,144.23,145.35,1169362
2024-07-10,145.35,146.5,144.24,145.39,1177281
2024-07-11,145.39,146.56,144.27,145.44,1185200
2024-07-12,145.44,146.64,144.32,145.52,1193119
2024-07-15,145.52,146.74,144.39,145.61,1201038
2024-07-16,145.61,146.85,144.47,145.71,1208957
2024-07-17,145.71,146.97,144.57,145.83,1216876
2024-07-18,145.83,147.11,144.68,145.97,1224795
2024-07-19,145.97,147.27,144.81,146.12,1232714
2024-07-22,146.12,147.44,144.96,146.28,1240633
2024-07-23,146.28,147.62,145.12,146.46,1248552
2024-07-24,146.46,147.81,145.29,146.64,1256471
2024-07-25,146.64,148.01,145.47,146.84,1264390
2024-07-26,146.84,148.22,145.67,147.05,1272309
2024-07-29,147.05,148.44,145.87,147.27,1280228
2024-07-30,147.27,148.67,146.09,147.49,1288147
2024-07-31,147.49,148.9,146.31,147.72,1296066
2024-08-01,147.72,149.14,146.54,147.96,1303985
2024-08-02,147.96,149.39,146.78,148.2,1311904
2024-08-05,148.2,149.63,147.02,148.45,1319823
2024-08-06,148.45,149.88,147.26,148.7,1327742
2024-08-07,148.7,150.13,147.51,148.95,1335661
2024-08-08,148.95,150.38,147.76,149.2,1343580
2024-08-09,149.2,150.63,148.01,149.45,1351499
2024-08-12,149.45,150.88,148.26,149.69,1359418
2024-08-13,149.69,151.12,148.51,149.94,1367337
2024-08-14,149.94,151.36,148.75,150.18,1375256
2024-08-15,150.18,151.6,149,150.41,1383175
2024-08-16,150.41,151.82,149.23,150.64,1391094
2024-08-19,150.64,152.04,149.46,150.86,1399013
2024-08-20,150.86,152.25,149.69,151.08,1406932
2024-08-21,151.08,152.45,149.91,151.28,1414851
2024-08-22,151.28,152.65,150.11,151.48,1422770
2024-08-23,151.48,152.83,150.31,151.66,1430689
2024-08-26,151.66,153,150.5,151.83,1438608
2024-08-27,151.83,153.15,150.68,151.99,1446527
2024-08-28,151.99,153.29,150.84,152.14,1454446
2024-08-29,152.14,153.42,151,152.27,1462365
2024-08-30,152.27,153.53,151.13,152.39,1470284
2024-09-02,152.39,153.63,151.26,152.5,1478203
2024-09-03,152.5,153.71,151.37,152.58,1486122
2024-09-04,152.58,153.78,151.46,152.65,1494041
2024-09-05,152.65,153.83,151.54,152.71,1501960
2024-09-06,152.71,153.86,151.6,152.75,1509879
2024-09-09,152.75,153.87,151.64,152.77,1517798
2024-09-10,152.77,153.87,151.66,152.77,1525717
2024-09-11,152.77,153.87,151.65,152.75,1533636
2024-09-12,152.75,153.86,151.61,152.72,1541555
2024-09-13,152.72,153.84,151.55,152.67,1549474
2024-09-16,152.67,153.79,151.47,152.6,1557393
2024-09-17,152.6,153.73,151.38,152.51,1565312
2024-09-18,152.51,153.65,151.27,152.4,1573231
2024-09-19,152.4,153.55,151.14,152.28,1581150
2024-09-20,152.28,153.43,150.99,152.14,1589069
2024-09-23,152.14,153.3,150.83,151.98,1596988
2024-09-24,151.98,153.14,150.65,151.81,1604907
2024-09-25,151.81,152.97,150.45,151.62,1612826
2024-09-26,151.62,152.79,150.24,151.41,1620745
2024-09-27,151.41,152.59,150.01,151.19,1628664
2024-09-30,151.19,152.37,149.77,150.95,1636583
2024-10-01,150.95,152.14,149.51,150.7,1644502
2024-10-02,150.7,151.89,149.25,150.44,1652421
2024-10-03,150.44,151.64,148.97,150.16,1660340
2024-10-04,150.16,151.36,148.68,149.88,1668259
2024-10-07,149.88,151.08,148.37,149.58,1676178
2024-10-08,149.58,150.79,148.06,149.27,1684097
2024-10-09,149.27,150.48,147.74,148.95,1692016
2024-10-10,148.95,150.17,147.42,148.63,1699935
2024-10-11,148.63,149.85,147.08,148.3,1707854
2024-10-14,148.3,149.52,146.75,147.96,1715773
2024-10-15,147.96,149.18,146.4,147.62,1723692
2024-10-16,147.62,148.84,146.06,147.28,1731611
2024-10-17,147.28,148.5,145.71,146.93,1739530
2024-10-18,146.93,148.15,145.36,146.58,1747449
2024-10-21,146.58,147.81,145.01,146.24,1755368
2024-10-22,146.24,147.46,144.67,145.89,1763287
2024-10-23,145.89,147.11,144.33,145.55,1771206
2024-10-24,145.55,146.77,143.99,145.21,1779125
2024-10-25,145.21,146.42,143.65,144.87,1787044
2024-10-28,144.87,146.09,143.33,144.54,1794963
2024-10-29,144.54,145.76,143.01,144.22,1802882
2024-10-30,144.22,145.43,142.7,143.91,1810801
2024-10-31,143.91,145.12,142.4,143.61,1818720
2024-11-01,143.61,144.81,142.11,143.31,1826639
2024-11-04,143.31,144.51,141.84,143.04,1834558
2024-11-05,143.04,144.23,141.58,142.77,1842477
2024-11-06,142.77,143.96,141.33,142.52,1850396
2024-11-07,142.52,143.7,141.1,142.28,1858315
2024-11-08,142.28,143.46,140.88,142.06,1866234
2024-11-11,142.06,143.23,140.69,141.86,1874153
2024-11-12,141.86,143.02,140.51,141.67,1882072
2024-11-13,141.67,142.83,140.35,141.51,1889991
2024-11-14,141.51,142.66,140.21,141.36,1897910
2024-11-15,141.36,142.51,140.09,141.24,1005829
2024-11-18,141.24,142.37,140,141.14,1013748
2024-11-19,141.14,142.26,139.93,141.06,1021667
2024-11-20,141.06,142.18,139.88,141,1029586
2024-11-21,141,142.11,139.85,140.96,1037505
2024-11-22,140.96,142.07,139.85,140.96,1045424
2024-11-25,140.96,142.08,139.85,140.97,1053343
2024-11-26,140.97,142.13,139.86,141.01,1061262
2024-11-27,141.01,142.2,139.89,141.08,1069181
2024-11-28,141.08,142.3,139.95,141.17,1077100
2024-11-29,141.17,142.43,140.03,141.29,1085019
2024-12-02,141.29,142.58,140.14,141.43,1092938
2024-12-03,141.43,142.76,140.27,141.6,1100857
2024-12-04,141.6,142.97,140.43,141.8,1108776
2024-12-05,141.8,143.2,140.62,142.02,1116695
2024-12-06,142.02,143.45,140.83,142.27,1124614
2024-12-09,142.27,143.74,141.07,142.54,1132533
2024-12-10,142.54,144.05,141.34,142.84,1140452
2024-12-11,142.84,144.38,141.63,143.17,1148371
2024-12-12,143.17,144.74,141.94,143.51,1156290
2024-12-13,143.51,145.12,142.28,143.89,1164209
2024-12-16,143.89,145.52,142.65,144.28,1172128
2024-12-17,144.28,145.95,143.04,144.7,1180047
2024-12-18,144.7,146.4,143.45,145.15,1187966
2024-12-19,145.15,146.87,143.88,145.61,1195885
2024-12-20,145.61,147.37,144.34,146.1,1203804
2024-12-23,146.1,147.88,144.82,146.6,1211723
2024-12-24,146.6,148.41,145.32,147.13,1219642
2024-12-25,147.13,148.96,145.84,147.67,1227561
2024-12-26,147.67,149.53,146.37,148.23,1235480
2024-12-27,148.23,150.11,146.93,148.81,1243399
2024-12-30,148.81,150.71,147.5,149.4,1251318
2024-12-31,149.4,151.32,148.09,150.01,1259237
2025-01-01,150.01,151.94,148.69,150.63,1267156
2025-01-02,150.63,152.58,149.3,151.26,1275075
2025-01-03,151.26,153.22,149.93,151.9,1282994
2025-01-06,151.9,153.88,150.57,152.55,1290913
2025-01-07,152.55,154.54,151.22,153.21,1298832
2025-01-08,153.21,155.21,151.88,153.88,1306751
2025-01-09,153.88,155.89,152.54,154.55,1314670
2025-01-10,154.55,156.56,153.21,155.23,1322589
2025-01-13,155.23,157.25,153.89,155.91,1330508
2025-01-14,155.91,157.93,154.57,156.59,1338427
2025-01-15,156.59,158.61,155.25,157.27,1346346
2025-01-16,157.27,159.29,155.93,157.95,1354265
2025-01-17,157.95,159.97,156.62,158.63,1362184
2025-01-20,158.63,160.65,157.3,159.31,1370103
2025-01-21,159.31,161.32,157.98,159.98,1378022
2025-01-22,159.98,161.98,158.65,160.65,1385941
2025-01-23,160.65,162.64,159.32,161.31,1393860
2025-01-24,161.31,163.29,159.98,161.96,1401779
2025-01-27,161.96,163.93,160.64,162.6,1409698
2025-01-28,162.6,164.56,161.28,163.24,1417617
2025-01-29,163.24,165.17,161.92,163.86,1425536
2025-01-30,163.86,165.78,162.54,164.46,1433455
2025-01-31,164.46,166.37,163.16,165.06,1441374
2025-02-03,165.06,166.94,163.75,165.64,1449293
2025-02-04,165.64,167.5,164.34,166.2,1457212
2025-02-05,166.2,168.04,164.91,166.75,1465131
2025-02-06,166.75,168.57,165.46,167.28,1473050
2025-02-07,167.28,169.07,166,167.8,1480969
2025-02-10,167.8,169.56,166.52,168.29,1488888
2025-02-11,168.29,170.03,167.02,168.77,1496807
2025-02-12,168.77,170.48,167.51,169.22,1504726
2025-02-13,169.22,170.91,167.97,169.66,1512645
2025-02-14,169.66,171.32,168.41,170.07,1520564
2025-02-17,170.07,171.7,168.83,170.47,1528483
2025-02-18,170.47,172.07,169.24,170.84,1536402
2025-02-19,170.84,172.41,169.62,171.19,1544321
2025-02-20,171.19,172.74,169.98,171.52,1552240
2025-02-21,171.52,173.03,170.31,171.83,1560159
2025-02-24,171.83,173.31,170.63,172.11,1568078
2025-02-25,172.11,173.57,170.92,172.38,1575997
2025-02-26,172.38,173.8,171.19,172.62,1583916
2025-02-27,172.62,174.01,171.44,172.84,1591835
2025-02-28,172.84,174.2,171.67,173.03,1599754
2025-03-03,173.03,174.37,171.87,173.21,1607673
2025-03-04,173.21,174.52,172.06,173.37,1615592
2025-03-05,173.37,174.65,172.22,173.5,1623511
2025-03-06,173.5,174.76,172.36,173.62,1631430
2025-03-07,173.62,174.85,172.48,173.71,1639349
2025-03-10,173.71,174.92,172.59,173.79,1647268
2025-03-11,173.79,174.97,172.67,173.85,1655187
2025-03-12,173.85,175,172.73,173.89,1663106
2025-03-13,173.89,175.02,172.78,173.91,1671025
2025-03-14,173.91,175.02,172.81,173.92,1678944
2025-03-17,173.92,175.02,172.81,173.91,1686863
2025-03-18,173.91,175.02,172.78,173.89,1694782
2025-03-19,173.89,175,172.74,173.85,1702701
2025-03-20,173.85,174.97,172.68,173.8,1710620
2025-03-21,173.8,174.92,172.62,173.74,1718539
2025-03-24,173.74,174.87,172.54,173.67,1726458
2025-03-25,173.67,174.8,172.46,173.59,1734377
2025-03-26,173.59,174.72,172.37,173.5,1742296
2025-03-27,173.5,174.63,172.27,173.4,1750215
2025-03-28,173.4,174.54,172.16,173.3,1758134
2025-03-31,173.3,174.44,172.05,173.19,1766053
2025-04-01,173.19,174.33,171.93,173.07,1773972
2025-04-02,173.07,174.22,171.82,172.96,1781891
2025-04-03,172.96,174.1,171.7,172.84,1789810
2025-04-04,172.84,173.98,171.58,172.72,1797729
2025-04-07,172.72,173.86,171.46,172.6,1805648
2025-04-08,172.6,173.74,171.34,172.48,1813567
2025-04-09,172.48,173.62,171.23,172.37,1821486
2025-04-10,172.37,173.51,171.12,172.26,1829405
2025-04-11,172.26,173.39,171.01,172.15,1837324
2025-04-14,172.15,173.28,170.91,172.05,1845243
2025-04-15,172.05,173.18,170.82,171.95,1853162
2025-04-16,171.95,173.08,170.73,171.86,1861081
2025-04-17,171.86,172.99,170.66,171.78,1869000
2025-04-18,171.78,172.91,170.59,171.71,1876919
2025-04-21,171.71,172.83,170.53,171.65,1884838
2025-04-22,171.65,172.77,170.49,171.61,1892757
2025-04-23,171.61,172.72,170.46,171.57,1000676
2025-04-24,171.57,172.68,170.44,171.54,1008595
2025-04-25,171.54,172.65,170.43,171.53,1016514
2025-04-28,171.53,172.64,170.43,171.53,1024433
2025-04-29,171.53,172.66,170.43,171.55,1032352
2025-04-30,171.55,172.69,170.44,171.58,1040271
2025-05-01,171.58,172.75,170.47,171.63,1048190
2025-05-02,171.63,172.82,170.51,171.69,1056109
2025-05-05,171.69,172.9,170.57,171.77,1064028
2025-05-06,171.77,173,170.64,171.87,1071947
2025-05-07,171.87,173.12,170.73,171.98,1079866
2025-05-08,171.98,173.25,170.84,172.11,1087785
2025-05-09,172.11,173.41,170.96,172.26,1095704
2025-05-12,172.26,173.57,171.1,172.42,1103623
2025-05-13,172.42,173.76,171.26,172.6,1111542
2025-05-14,172.6,173.96,171.43,172.79,1119461
2025-05-15,172.79,174.18,171.62,173.01,1127380
2025-05-16,173.01,174.41,171.83,173.23,1135299
2025-05-19,173.23,174.67,172.05,173.48,1143218
2025-05-20,173.48,174.93,172.29,173.74,1151137
2025-05-21,173.74,175.21,172.54,174.02,1159056
2025-05-22,174.02,175.51,172.81,174.31,1166975
2025-05-23,174.31,175.82,173.1,174.61,1174894
2025-05-26,174.61,176.14,173.4,174.93,1182813
2025-05-27,174.93,176.48,173.71,175.26,1190732
2025-05-28,175.26,176.82,174.04,175.6,1198651
2025-05-29,175.6,177.18,174.38,175.96,1206570
2025-05-30,175.96,177.55,174.73,176.32,1214489
2025-06-02,176.32,177.93,175.09,176.7,1222408
2025-06-03,176.7,178.32,175.46,177.08,1230327
2025-06-04,177.08,178.71,175.85,177.48,1238246
2025-06-05,177.48,179.11,176.24,177.87,1246165
2025-06-06,177.87,179.52,176.63,178.28,1254084
