date,open,high,low,close,volume
2024-01-02,92,93.74,88.43,90.17,1000252
2024-01-03,90.17,91.56,89,90.39,1008171
2024-01-04,90.39,91.76,89.22,90.59,1016090
2024-01-05,90.59,91.93,89.42,90.77,1024009
2024-01-08,90.77,92.09,89.61,90.93,1031928
2024-01-09,90.93,92.23,89.78,91.08,1039847
2024-01-10,91.08,92.35,89.93,91.2,1047766
2024-01-11,91.2,92.45,90.06,91.31,1055685
2024-01-12,91.31,92.54,90.18,91.4,1063604
2024-01-15,91.4,92.6,90.28,91.48,1071523
2024-01-16,91.48,92.66,90.36,91.54,1079442
2024-01-17,91.54,92.69,90.42,91.58,1087361
2024-01-18,91.58,92.71,90.47,91.6,1095280
2024-01-19,91.6,92.72,90.5,91.61,1103199
2024-01-22,91.61,92.72,90.51,91.61,1111118
2024-01-23,91.61,92.72,90.48,91.59,1119037
2024-01-24,91.59,92.7,90.44,91.56,1126956
2024-01-25,91.56,92.67,90.39,91.51,1134875
2024-01-26,91.51,92.63,90.33,91.45,1142794
2024-01-29,91.45,92.58,90.26,91.38,1150713
2024-01-30,91.38,92.51,90.17,91.3,1158632
2024-01-31,91.3,92.43,90.08,91.21,1166551
2024-02-01,91.21,92.34,89.98,91.11,1174470
2024-02-02,91.11,92.25,89.86,91,1182389
2024-02-05,91,92.14,89.75,90.89,1190308
2024-02-06,90.89,92.03,89.63,90.77,1198227
2024-02-07,90.77,91.91,89.5,90.64,1206146
2024-02-08,90.64,91.79,89.37,90.51,1214065
2024-02-09,90.51,91.66,89.24,90.38,1221984
2024-02-12,90.38,91.53,89.1,90.25,1229903
2024-02-13,90.25,91.4,88.97,90.12,1237822
2024-02-14,90.12,91.26,88.84,89.98,1245741
2024-02-15,89.98,91.13,88.7,89.85,1253660
2024-02-16,89.85,91,88.58,89.72,1261579
2024-02-19,89.72,90.86,88.45,89.6,1269498
2024-02-20,89.6,90.74,88.33,89.48,1277417
2024-02-21,89.48,90.62,88.22,89.36,1285336
2024-02-22,89.36,90.5,88.12,89.25,1293255
2024-02-23,89.25,90.39,88.02,89.15,1301174
2024-02-26,89.15,90.29,87.93,89.06,1309093
2024-02-27,89.06,90.19,87.85,88.98,1317012
2024-02-28,88.98,90.11,87.79,88.91,1324931
2024-02-29,88.91,90.03,87.74,88.86,1332850
2024-03-01,88.86,89.97,87.7,88.81,1340769
2024-03-04,88.81,89.92,87.67,88.78,1348688
2024-03-05,88.78,89.89,87.66,88.76,1356607
2024-03-06,88.76,89.86,87.66,88.76,1364526
2024-03-07,88.76,89.88,87.66,88.78,1372445
2024-03-08,88.78,89.92,87.67,88.81,1380364
2024-03-11,88.81,89.97,87.69,88.85,1388283
2024-03-12,88.85,90.04,87.73,88.92,1396202
2024-03-13,88.92,90.13,87.79,89,1404121
2024-03-14,89,90.24,87.87,89.11,1412040
2024-03-15,89.11,90.37,87.96,89.23,1419959
2024-03-18,89.23,90.52,88.08,89.37,1427878
2024-03-19,89.37,90.69,88.21,89.53,1435797
2024-03-20,89.53,90.88,88.37,89.71,1443716
2024-03-21,89.71,91.08,88.54,89.91,1451635
2024-03-22,89.91,91.31,88.74,90.13,1459554
2024-03-25,90.13,91.56,88.95,90.37,1467473
2024-03-26,90.37,91.83,89.18,90.64,1475392
2024-03-27,90.64,92.11,89.44,90.92,1483311
2024-03-28,90.92,92.42,89.71,91.22,1491230
2024-03-29,91.22,92.75,90,91.54,1499149
2024-04-01,91.54,93.09,90.32,91.87,1507068
2024-04-02,91.87,93.46,90.65,92.23,1514987
2024-04-03,92.23,93.84,91,92.61,1522906
2024-04-04,92.61,94.24,91.37,93,1530825
2024-04-05,93,94.65,91.76,93.41,1538744
2024-04-08,93.41,95.09,92.16,93.84,1546663
2024-04-09,93.84,95.53,92.58,94.28,1554582
2024-04-10,94.28,96,93.02,94.74,1562501
2024-04-11,94.74,96.47,93.47,95.21,1570420
2024-04-12,95.21,96.96,93.94,95.69,1578339
2024-04-15,95.69,97.47,94.42,96.19,1586258
2024-04-16,96.19,97.98,94.91,96.7,1594177
2024-04-17,96.7,98.5,95.42,97.22,1602096
2024-04-18,97.22,99.03,95.93,97.75,1610015
2024-04-19,97.75,99.57,96.46,98.29,1617934
2024-04-22,98.29,100.12,97,98.83,1625853
2024-04-23,98.83,100.68,97.54,99.38,1633772
2024-04-24,99.38,101.23,98.09,99.94,1641691
2024-04-25,99.94,101.79,98.64,100.5,1649610
2024-04-26,100.5,102.36,99.2,101.06,1657529
2024-04-29,101.06,102.92,99.76,101.62,1665448
2024-04-30,101.62,103.49,100.33,102.19,1673367
2024-05-01,102.19,104.05,100.89,102.75,1681286
2024-05-02,102.75,104.61,101.45,103.31,1689205
2024-05-03,103.31,105.16,102.02,103.87,1697124
2024-05-06,103.87,105.71,102.58,104.42,1705043
2024-05-07,104.42,106.26,103.13,104.97,1712962
2024-05-08,104.97,106.79,103.68,105.5,1720881
2024-05-09,105.5,107.32,104.22,106.03,1728800
2024-05-10,106.03,107.84,104.75,106.55,1736719
2024-05-13,106.55,108.34,105.28,107.06,1744638
2024-05-14,107.06,108.83,105.79,107.56,1752557
2024-05-15,107.56,109.31,106.29,108.04,1760476
2024-05-16,108.04,109.77,106.78,108.51,1768395
2024-05-17,108.51,110.22,107.25,108.96,1776314
2024-05-20,108.96,110.65,107.71,109.4,1784233
2024-05-21,109.4,111.06,108.15,109.82,1792152
2024-05-22,109.82,111.46,108.58,110.22,1800071
2024-05-23,110.22,111.83,108.99,110.6,1807990
2024-05-24,110.6,112.18,109.37,110.96,1815909
2024-05-27,110.96,112.52,109.74,111.3,1823828
2024-05-28,111.3,112.82,110.09,111.61,1831747
2024-05-29,111.61,113.11,110.41,111.91,1839666
2024-05-30,111.91,113.37,110.71,112.18,1847585
2024-05-31,112.18,113.61,110.99,112.42,1855504
2024-06-03,112.42,113.82,111.25,112.64,1863423
2024-06-04,112.64,114.01,111.48,112.84,1871342
2024-06-05,112.84,114.17,111.68,113.01,1879261
2024-06-06,113.01,114.31,111.86,113.16,1887180
2024-06-07,113.16,114.42,112.02,113.28,1895099
2024-06-10,113.28,114.5,112.14,113.37,1003018
2024-06-11,113.37,114.56,112.25,113.44,1010937
2024-06-12,113.44,114.59,112.32,113.47,1018856
2024-06-13,113.47,114.59,112.37,113.49,1026775
2024-06-14,113.49,114.59,112.37,113.47,1034694
2024-06-17,113.47,114.59,112.32,113.43,1042613
2024-06-18,113.43,114.56,112.25,113.37,1050532
2024-06-19,113.37,114.5,112.14,113.28,1058451
2024-06-20,113.28,114.42,112.02,113.16,1066370
2024-06-21,113.16,114.31,111.87,113.02,1074289
2024-06-24,113.02,114.17,111.69,112.85,1082208
